ref,cor,url
014084,01,https://photo.anselmi.ind.br/Fotos/14084_01.jpg
027211,CINZA,https://photo.anselmi.ind.br/Fotos/27211_cinza.jpg
011637,02,https://photo.anselmi.ind.br/Fotos/11637_02.jpg
010836,01,https://photo.anselmi.ind.br/Fotos/10836_01.jpg
047457,06,https://photo.anselmi.ind.br/Fotos/47457_06.jpg
014962,E75,https://photo.anselmi.ind.br/Fotos/14962_e75.jpg
011210,10,https://photo.anselmi.ind.br/Fotos/11210_10.jpg
047576,10,https://photo.anselmi.ind.br/Fotos/47576_10.jpg
047539,02,https://photo.anselmi.ind.br/Fotos/47539_02.jpg
047442,01,https://photo.anselmi.ind.br/Fotos/47442_01.jpg
047637,05,https://photo.anselmi.ind.br/Fotos/47637_05.jpg
011325,10,https://photo.anselmi.ind.br/Fotos/11325_10.jpg
010422,01,https://photo.anselmi.ind.br/Fotos/10422_01.jpg
046399,10,https://photo.anselmi.ind.br/Fotos/46399_10.jpg
012551,02,https://photo.anselmi.ind.br/Fotos/12551_02.jpg
010135,10,https://photo.anselmi.ind.br/Fotos/10135_10.jpg
010845,10,https://photo.anselmi.ind.br/Fotos/10845_10.jpg
010356,A,https://photo.anselmi.ind.br/Fotos/10356_a.jpg
046049,1616176308,https://photo.anselmi.ind.br/Fotos/46049_1616176308.jpg
047523,01,https://photo.anselmi.ind.br/Fotos/47523_01.jpg
015094,01,https://photo.anselmi.ind.br/Fotos/15094_01.jpg
029404,16,https://photo.anselmi.ind.br/Fotos/29404_16.jpg
012976,01,https://photo.anselmi.ind.br/Fotos/12976_01.jpg
047508,01,https://photo.anselmi.ind.br/Fotos/47508_01.jpg
047709,11,https://photo.anselmi.ind.br/Fotos/47709_11.jpg
046545,E10,https://photo.anselmi.ind.br/Fotos/46545_e10.jpg
047491,02,https://photo.anselmi.ind.br/Fotos/47491_02.jpg
027065,06,https://photo.anselmi.ind.br/Fotos/27065_06.jpg
012507,03,https://photo.anselmi.ind.br/Fotos/12507_03.jpg
027544,CINZA,https://photo.anselmi.ind.br/Fotos/27544_cinza.jpg
012332,C25,https://photo.anselmi.ind.br/Fotos/12332_c25.jpg
013811,01,https://photo.anselmi.ind.br/Fotos/13811_01.jpg
033491,LATERAL,https://photo.anselmi.ind.br/Fotos/33491_lateral.jpg
047490,02,https://photo.anselmi.ind.br/Fotos/47490_02.jpg
033877,2,https://photo.anselmi.ind.br/Fotos/33877_2.jpg
029423,01,https://photo.anselmi.ind.br/Fotos/29423_01.jpg
015226,01,https://photo.anselmi.ind.br/Fotos/15226_01.jpg
047571,02,https://photo.anselmi.ind.br/Fotos/47571_02.jpg
025092,10,https://photo.anselmi.ind.br/Fotos/25092_10.jpg
011739,10,https://photo.anselmi.ind.br/Fotos/11739_10.jpg
