url,ref,cor,status,error
https://photo.anselmi.ind.br/cache/Fotos/25092_B79_1024.jpg,025092,B79,404,
https://photo.anselmi.ind.br/cache/Fotos/759_01_1024.jpg,000759,001,404,
https://photo.anselmi.ind.br/cache/Fotos/757_01_1024.jpg,000757,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/769_01_1024.jpg,000769,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/758_01_1024.jpg,000758,001,404,
https://photo.anselmi.ind.br/cache/Fotos/105_01_1024.jpg,000105,001,404,
https://photo.anselmi.ind.br/cache/Fotos/32311_01_1024.jpg,032311,001,404,
https://photo.anselmi.ind.br/cache/Fotos/32380_10_1024.jpg,032380,010,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_01_1024.jpg,032310,001,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_10_1024.jpg,032310,010,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_11_1024.jpg,032310,011,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_A69_1024.jpg,032310,A69,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_941_1024.jpg,032310,941,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_711_1024.jpg,032310,711,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_B77_1024.jpg,032310,B77,404,
https://photo.anselmi.ind.br/cache/Fotos/17751_657_1024.jpg,017751,657,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_A56_1024.jpg,032310,A56,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_583_1024.jpg,032310,583,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_989_1024.jpg,032310,989,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_A54_1024.jpg,032310,A54,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_763_1024.jpg,032310,763,404,
https://photo.anselmi.ind.br/cache/Fotos/24571_778_1024.jpg,024571,778,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_837_1024.jpg,032310,837,404,
https://photo.anselmi.ind.br/cache/Fotos/32310_B76_1024.jpg,032310,B76,404,
https://photo.anselmi.ind.br/cache/Fotos/799_01_1024.jpg,000799,001,404,
https://photo.anselmi.ind.br/cache/Fotos/911_01_1024.jpg,000911,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/25355_01_1024.jpg,025355,001,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_A44_1024.jpg,032432,A44,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_D40_1024.jpg,032432,D40,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_A64_1024.jpg,032432,A64,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_989_1024.jpg,032432,989,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_D57_1024.jpg,032432,D57,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_B28_1024.jpg,032432,B28,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_01_1024.jpg,024846,001,404,
https://photo.anselmi.ind.br/cache/Fotos/40916_01_1024.jpg,040916,001,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_C84_1024.jpg,032432,C84,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_A80_1024.jpg,032432,A80,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_583_1024.jpg,032432,583,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_01_1024.jpg,032432,001,404,
https://photo.anselmi.ind.br/cache/Fotos/32432_963_1024.jpg,032432,963,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_10_1024.jpg,024846,010,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_11_1024.jpg,024846,011,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_991_1024.jpg,024846,991,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_941_1024.jpg,024846,941,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_B77_1024.jpg,024846,B77,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_A56_1024.jpg,024846,A56,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_A67_1024.jpg,024846,A67,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_C25_1024.jpg,024846,C25,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_B99_1024.jpg,024846,B99,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_D82_1024.jpg,024846,D82,404,
https://photo.anselmi.ind.br/cache/Fotos/24846_A29_1024.jpg,024846,A29,404,
